id,name,slug,longitude,latitude,country,info:fr
18103,Sart-Bernard,sart-bernard,4.9494060000,50.4064360000,BE,
18104,Courriere,courriere,4.9949910000,50.3889880000,BE,
18105,Assesse,assesse,5.0229020000,50.3680520000,BE,
18106,Floree,floree,5.0560900000,50.3578580000,BE,
18107,Natoye,natoye,5.0612320000,50.3429450000,BE,
18108,Leignon,leignon,5.1075080000,50.2677500000,BE,
18109,Chapois,chapois,5.1254870000,50.2617630000,BE,
18110,Haversin,haversin,5.1946770000,50.2488550000,BE,
18111,Forrieres,forrieres,5.2766590000,50.1325880000,BE,
18112,Habay,habay,5.6321460000,49.7181500000,BE,
18113,Stockem,stockem,5.7679910000,49.6909210000,BE,
18114,Viville,viville,5.7859690000,49.6880720000,BE,
18115,Florenville,florenville,5.3319060000,49.7070480000,BE,
18116,Anseremme,anseremme,4.9044240000,50.2372680000,BE,
18117,Gendron-Celles,gendron-celles,4.9646520000,50.2104530000,BE,
18118,Beauraing,beauraing,4.9570200000,50.1142590000,BE,
18119,Gedinne,gedinne,4.9781720000,49.9842840000,BE,
18120,Graide,graide,5.0434150000,49.9337920000,BE,
18121,Carlsbourg,carlsbourg,5.0873280000,49.9072920000,BE,
18122,Jemappes,jemappes,3.8853890000,50.4525770000,BE,
18123,Ville-Pommeroeul,ville-pommeroeul,3.7236280000,50.4649830000,BE,
18124,Harchies,harchies,3.6988630000,50.4823500000,BE,
18125,Callenelle,callenelle,3.5198070000,50.5304780000,BE,
18126,Maubray,maubray,3.4968480000,50.5468740000,BE,
18127,Antoing,antoing,3.4515700000,50.5694100000,BE,
18128,Boondaal-Boondael,boondaal-boondael,4.3935670000,50.8018350000,BE,
18129,Sint-Job,sint-job,4.3618620000,50.7940420000,BE,Saint Job
18130,Moensberg,moensberg,4.3315420000,50.7786340000,BE,
18131,Beersel,beersel,4.3020300000,50.7661660000,BE,
18132,Huizingen,huizingen,4.2665590000,50.7518010000,BE,
18133,Liège-Palais,liege-palais,5.5707140000,50.6464840000,BE,
18134,Aarsele,aarsele,3.4181120000,50.9845410000,BE,
18135,Mortsel-Liersesteenw,mortsel-liersesteenw,4.4690320000,51.1692960000,BE,
18136,Simonis,simonis,4.3306340000,50.8631690000,BE,
18137,Vivier d’Oie,vivier-doie,4.3726580000,50.7960100000,BE,
18138,Bruxelles-West,bruxelles-west,4.3213030000,50.8492260000,BE,
18139,Schelle,schelle,4.3402700000,51.1254650000,BE,
18140,Beverlo,beverlo,5.2345890000,51.0890050000,BE,
18141,Halanzy,halanzy,5.7432890000,49.5559840000,BE,
18142,Aubange PA,aubange-pa,5.7991570000,49.5635530000,BE,
18143,Evergem,evergem,3.7020630000,51.1071450000,BE,
18144,Beervelde,beervelde,3.8798970000,51.0871800000,BE,
18145,Dinant,dinant,4.9078130000,50.2611790000,BE,
18146,Geel,geel,4.9888780000,51.1688560000,BE,
18147,Herentals,herentals,4.8285730000,51.1811170000,BE,
18148,Kortrijk,kortrijk,3.2642970000,50.8244610000,BE,Courtrai
18149,Lier,lier,4.5599760000,51.1358560000,BE,Belgique
18150,Zottegem,zottegem,3.8146620000,50.8689580000,BE,
18151,Hasselt,hasselt,5.3270610000,50.9308750000,BE,
18152,Mol,mol,5.1151040000,51.1907720000,BE,
18153,Lommel,lommel,5.3118150000,51.2115640000,BE,
18154,Ottignies,ottignies,4.5696570000,50.6734870000,BE,
