name,howbig,latitude,longitude,postalCode,city,department,region
Pont-de-Claix,c,45.1251549, 5.6998669,38800,Pont-de-Claix,Isère,Rhône-Alpes
Grenoble Universités - Gières,b,45.184877, 5.78474,38610,Gières,Isère,Rhône-Alpes
Voreppe,b,45.290417, 5.632119,38340,Voreppe,Isère,Rhône-Alpes
Rives,b,45.357535, 5.491893,38140,Rives,Isère,Rhône-Alpes
La Joux,c,45.9657075, 6.910179,74400,Chamonix-Mont-Blanc,Haute-Savoie,Rhône-Alpes
Chedde,c,45.9263464, 6.7197662,74190,Passy,Haute-Savoie,Rhône-Alpes
Seyssel - Corbonod,c,45.9630307, 5.8315162,1420,Corbonod,Ain,Rhône-Alpes
Perrignier,c,46.303259, 6.4249208,74550,Perrignier,Haute-Savoie,Rhône-Alpes
Tenay - Hauteville,c,45.9222096, 5.5016101,1970,Argis,Ain,Rhône-Alpes
Ambérieu-en-Bugey,b,45.954008, 5.342388,1500,Ambérieu-en-Bugey,Ain,Rhône-Alpes
Ceyzériat,c,46.1834877, 5.3258417,1250,Ceyzériat,Ain,Rhône-Alpes
Bourg-en-Bresse,a,46.200351, 5.215063,1000,Bourg-en-Bresse,Ain,Rhône-Alpes
Grésy-sur-Isère,c,45.594432, 6.2588584,73460,Grésy-sur-Isère,Savoie,Rhône-Alpes
Virieu-le-Grand - Belley,c,45.8482817, 5.6536162,1510,Virieu-le-Grand,Ain,Rhône-Alpes
Pont-de-Beauvoisin,b,45.524636, 5.680772,38480,Pont-de-Beauvoisin,Isère,Rhône-Alpes
Saint-Pierre-d'Albigny,b,45.557397, 6.156151,73250,Saint-Pierre-d'Albigny,Savoie,Rhône-Alpes
Chindrieux,c,45.8034376, 5.8468876,73310,Chindrieux,Savoie,Rhône-Alpes
Retournac,c,45.2013468, 4.0361169,43130,Retournac,Haute-Loire,Auvergne
Noirétable,c,45.816024, 3.7611423,42440,Noirétable,Loire,Rhône-Alpes
Thiers,c,45.8610502, 3.5431798,63300,Thiers,Puy-de-Dôme,Auvergne
Lezoux,c,45.8212175, 3.385986,63190,Lezoux,Puy-de-Dôme,Auvergne
Vertaizon,b,45.784543, 3.288269,63910,Vertaizon,Puy-de-Dôme,Auvergne
Luc,c,44.654092, 3.8915631,48250,Luc,Lozère,Languedoc-Roussillon
Paulhaguet,c,45.2101978, 3.5004445,43230,Paulhaguet,Haute-Loire,Auvergne
Le Breuil-sur-Couze,c,45.4670838, 3.2621478,63340,Breuil-sur-Couze,Puy-de-Dôme,Auvergne
