Intitulé gare;Code UIC;Segment DRG;Niveau de service;Nombre plateformes;WGS 84;Code postal;Commune;Département;Région
Autun;0087694570;c;1;1;46.9548746, 4.2929079;71400;Autun;Saône-et-Loire;Bourgogne
Le Creusot - Montceau-les-Mines - Montchanin TGV;0087694109;a;2;1;46.807815, 4.430403;71210;Écuisses;Saône-et-Loire;Bourgogne
Le Creusot;0087694000;b;1;1;46.807602, 4.430277;71200;Creusot;Saône-et-Loire;Bourgogne
Boigneville;0087684407;c;;1;48.342078, 2.3789793;91720;Boigneville;Essonne;Île-de-France
Nogent-sur-Vernisson;0087684274;c;1;1;47.8527938, 2.7375773;45290;Nogent-sur-Vernisson;Loiret;Centre
Ferrières - Fontenay;0087684241;c;1;1;48.0964767, 2.7726332;45210;Fontenay-sur-Loing;Loiret;Centre
Montargis;0087684001;b;2;1;48.006862, 2.742783;45200;Montargis;Loiret;Centre
Sermizelles - Vézelay;0087683722;c;1;1;47.5289068, 3.7928695;89200;Sermizelles;Yonne;Bourgogne
Lucy-sur-Cure - Bessy;0087683672;c;1;1;47.6281383, 3.7458789;89270;Lucy-sur-Cure;Yonne;Bourgogne
Cravant - Bazarnes;0087683649;c;1;1;47.6785079, 3.6811741;89460;Bazarnes;Yonne;Bourgogne
Saint-Florentin - Vergigny;0087683318;c;1;1;47.981058, 3.731036;89600;Vergigny;Yonne;Bourgogne
Laroche - Migennes;0087683268;b;1;1;47.960998, 3.513191;89400;Migennes;Yonne;Bourgogne
Villeneuve-la-Guyard;0087683102;b;1;1;48.342425, 3.071655;89340;Villeneuve-la-Guyard;Yonne;Bourgogne
Vosves;0087682500;c;;1;48.5151115, 2.5991469;77190;Dammarie-les-Lys;Seine-et-Marne;Île-de-France
Vulaines-sur-Seine - Samoreau;0087682443;c;;1;48.4305468, 2.7531008;77870;Samoreau;Seine-et-Marne;Île-de-France
Héricy;0087682435;c;;1;48.4424848, 2.7605339;77850;Héricy;Seine-et-Marne;Île-de-France
Montereau;0087682302;b;;1;48.379934, 2.942972;77130;Montereau-Fault-Yonne;Seine-et-Marne;Île-de-France
Saint-Mammès;0087682294;b;;1;48.382171, 2.81593;77670;Saint-Mammès;Seine-et-Marne;Île-de-France
Thomery;0087682252;b;;1;48.394462, 2.763995;77300;Thomery;Seine-et-Marne;Île-de-France
Cesson;0087682161;b;;1;48.56563, 2.5938;77240;Cesson;Seine-et-Marne;Île-de-France
Montgeron - Crosne;0087682104;b;;1;48.708094, 2.462224;91230;Montgeron;Essonne;Île-de-France
Buno - Gironville;0087681510;c;;1;48.370847, 2.3871153;91720;Buno-Bonnevaux;Essonne;Île-de-France
Ballancourt;0087681437;b;;1;48.532114, 2.371274;91610;Ballancourt-sur-Essonne;Essonne;Île-de-France
Mennecy;0087681411;b;;1;48.5709075, 2.433165;91540;Mennecy;Essonne;Île-de-France
Grigny Centre;0087681379;b;;1;48.65343, 2.395797;91350;Grigny;Essonne;Île-de-France
Grand Bourg;0087681353;b;;1;48.648004, 2.435939;91000;Ris-Orangis;Essonne;Île-de-France
Itxassou;0087673665;c;1;1;43.324043, -1.3956111;64250;Itxassou;Pyrénées-Atlantiques;Aquitaine
Jatxou;0087673632;c;1;1;43.390897, -1.4446266;64480;Jatxou;Pyrénées-Atlantiques;Aquitaine
Labenne;0087673293;c;1;1;43.5870509, -1.4288712;40530;Labenne;Landes;Aquitaine
Saint-Vincent-de-Tyrosse;0087673277;b;1;1;43.657736, -1.306493;40230;Saint-Vincent-de-Tyrosse;Landes;Aquitaine
Oloron-Sainte-Marie;0087672725;c;1;1;43.1947669, -0.6122826;64400;Oloron-Sainte-Marie;Pyrénées-Atlantiques;Aquitaine
Buzy en Béarn;0087672634;c;1;1;43.1482723, -0.4558864;64260;Buzy;Pyrénées-Atlantiques;Aquitaine
Croix du Prince;0087672600;c;1;1;43.2857104, -0.3791261;64000;Jurançon;Pyrénées-Atlantiques;Aquitaine
Urt;0087672386;c;1;1;43.4993785, -1.3005564;64240;Urt;Pyrénées-Atlantiques;Aquitaine
Artix;0087672212;c;1;1;43.3931062, -0.5701881;64170;Artix;Pyrénées-Atlantiques;Aquitaine
Assat;0087672162;c;1;1;43.2543993, -0.2950176;64510;Assat;Pyrénées-Atlantiques;Aquitaine
Coarraze - Nay;0087672139;c;1;1;43.1818351, -0.2416429;64800;Coarraze;Pyrénées-Atlantiques;Aquitaine
Pau;0087672006;a;2;1;43.291762, -0.369626;64000;Pau;Pyrénées-Atlantiques;Aquitaine
Murat;0087645481;c;1;1;45.1091483, 2.8696045;15300;Murat;Cantal;Auvergne
La Bourboule;0087641464;c;1;1;45.5906298, 2.7462611;63150;Bourboule;Puy-de-Dôme;Auvergne
Durtol - Nohanent;0087641449;c;1;1;45.7947707, 3.048557;63830;Durtol;Puy-de-Dôme;Auvergne
Les Trillers;0087641373;c;1;1;46.4147461, 2.6001018;03190;Vaux;Allier;Auvergne
Laqueuille;0087641274;c;1;1;45.6468205, 2.7046524;63760;Laqueuille;Puy-de-Dôme;Auvergne
Huriel;0087641217;c;1;1;46.3714332, 2.4762569;03380;Huriel;Allier;Auvergne
La Ville Gozet;0087641191;c;1;1;46.3497686, 2.5918028;03100;Montluçon;Allier;Auvergne
Saint-Bonnet-de-Rochefort;0087641076;c;1;1;46.1483796, 3.1393877;03800;Saint-Bonnet-de-Rochefort;Allier;Auvergne
Louroux-de-Bouble;0087641050;c;1;1;46.2241289, 2.9849368;03330;Louroux-de-Bouble;Allier;Auvergne
Saléchan - Siradan;0087618710;c;1;1;42.9633091, 0.6312526;65370;Saléchan;Hautes-Pyrénées;Midi-Pyrénées
Villenouvelle;0087618215;c;1;1;43.4330358, 1.661081;31290;Villenouvelle;Haute-Garonne;Midi-Pyrénées
Montlaur;0087618207;c;1;1;43.4752405, 1.5776454;31450;Montlaur;Haute-Garonne;Midi-Pyrénées
Pins-Justaret;0087618116;b;1;1;43.479213, 1.399645;31860;Pins-Justaret;Haute-Garonne;Midi-Pyrénées
Golfech;0087618082;c;1;1;44.1160495, 0.854688;82400;Golfech;Tarn-et-Garonne;Midi-Pyrénées
Vielmur-sur-Agout;0087615492;c;1;1;43.623928, 2.0895781;81570;Vielmur-sur-Agout;Tarn;Midi-Pyrénées
Castres;0087615468;b;1;1;43.599131, 2.231223;81100;Castres;Tarn;Midi-Pyrénées
Roquesérière - Buzet;0087615351;c;1;1;43.7512472, 1.6198753;31380;Buzet-sur-Tarn;Haute-Garonne;Midi-Pyrénées
Lisle-sur-Tarn;0087615310;c;1;1;43.85639, 1.80823;81310;Lisle-sur-Tarn;Tarn;Midi-Pyrénées
Limoux;0087615161;c;1;1;43.0563831, 2.2228288;11300;Limoux;Aude;Languedoc-Roussillon
Villefranche-de-Rouergue;0087613893;c;1;1;44.347498, 2.0364594;12200;Villefranche-de-Rouergue;Aveyron;Midi-Pyrénées
Saint-Christophe;0087613257;c;1;1;44.464619, 2.4077585;12330;Saint-Christophe-Vallon;Aveyron;Midi-Pyrénées
Aéroport Charles de Gaulle 1;0087271460;b;;1;49.00956, 2.56135;93290;Tremblay-en-France;Seine-Saint-Denis;Île-de-France
Saint-Ouen;0087271247;b;;1;48.90531, 2.32257;93400;Saint-Ouen;Seine-Saint-Denis;Île-de-France
La Barre Ormesson;0087271171;b;;1;48.96633, 2.31688;95170;Deuil-la-Barre;Val-d'Oise;Île-de-France
Pierrefitte - Stains;0087271163;b;;1;48.96409, 2.37213;93380;Pierrefitte-sur-Seine;Seine-Saint-Denis;Île-de-France
Oermingen;0087215632;c;1;1;49.0003724, 7.1317322;67970;Oermingen;Bas-Rhin;Alsace
Lutzelbourg;0087215160;c;1;1;48.7299065, 7.2516808;57820;Lutzelbourg;Moselle;Lorraine
Réding;0087215079;c;1;1;48.7429595, 7.095885;57444;Réding;Moselle;Lorraine
Saulxures;0087214759;c;1;1;48.3895555, 7.1478548;67420;Saulxures;Bas-Rhin;Alsace
Saint-Blaise-la-Roche Poutay;0087214742;c;1;1;48.4076094, 7.165329;67420;Saint-Blaise-la-Roche;Bas-Rhin;Alsace
Lutzelhouse;0087214650;b;1;1;48.51812, 7.29391;67130;Lutzelhouse;Bas-Rhin;Alsace
Heiligenberg - Mollkirch;0087214627;c;1;1;48.5273135, 7.381426;67190;Mollkirch;Bas-Rhin;Alsace
Ebersheim;0087214106;c;1;1;48.3099953, 7.494471;67600;Ebersheim;Bas-Rhin;Alsace
Wingen-sur-Moder;0087213744;b;1;1;48.9200646, 7.3811114;67290;Wingen-sur-Moder;Bas-Rhin;Alsace
Kurtzenhouse;0087213660;c;1;1;48.741862, 7.8130449;67240;Kurtzenhouse;Bas-Rhin;Alsace
Reichshoffen;0087213249;b;1;1;48.9310582, 7.658132;67110;Reichshoffen;Bas-Rhin;Alsace
Mertzwiller;0087213207;c;1;1;48.872013, 7.6781895;67580;Mertzwiller;Bas-Rhin;Alsace
Iteuil;0087577403;c;1;1;46.4841223, 0.3168298;86240;Iteuil;Vienne;Poitou-Charentes
Bischheim;0087212308;c;1;1;48.6118352, 7.7422165;67800;Bischheim;Bas-Rhin;Alsace
Limersheim;0087212274;c;1;1;48.4617328, 7.6603581;67150;Limersheim;Bas-Rhin;Alsace
Geispolsheim;0087212258;c;1;1;48.5190515, 7.6843578;67118;Geispolsheim;Bas-Rhin;Alsace
Graffenstaden;0087212241;c;1;1;48.5324375, 7.6897861;67400;Geispolsheim;Bas-Rhin;Alsace
Saverne;0087212225;b;2;1;48.7444606, 7.3620802;67700;Saverne;Bas-Rhin;Alsace
Brumath;0087212134;b;1;1;48.7331082, 7.7004016;67170;Brumath;Bas-Rhin;Alsace
Strasbourg;0087212027;a;3;1;48.584967, 7.734584;67000;Strasbourg;Bas-Rhin;Alsace
Montmédy;0087194209;c;1;1;49.5228775, 5.3716718;55600;Montmédy;Meuse;Lorraine
Petit-Réderching;0087193797;c;1;1;49.0493205, 7.2997305;57410;Petit-Réderching;Moselle;Lorraine
Kalhausen;0087193664;c;1;1;49.0350585, 7.125352;57412;Kalhausen;Moselle;Lorraine
Teting;0087193342;c;1;1;49.051605, 6.6646267;57114;Teting-sur-Nied;Moselle;Lorraine
Forbach;0087193003;b;2;1;49.1892278, 6.9013184;57600;Forbach;Moselle;Lorraine
Baroncourt;0087192658;c;1;1;49.2845332, 5.6997387;55240;Dommary-Baroncourt;Meuse;Lorraine
Vandières;0087192476;c;1;1;48.9521683, 6.0392275;54121;Vandières;Meurthe-et-Moselle;Lorraine
Novéant-sur-Moselle;0087192427;b;1;1;49.028635, 6.052101;57680;Novéant-sur-Moselle;Moselle;Lorraine
Ancy-sur-Moselle;0087192419;c;1;1;49.0575093, 6.0627661;57130;Ancy-sur-Moselle;Moselle;Lorraine
Ars-sur-Moselle;0087192401;b;1;1;49.0744745, 6.0776461;57130;Ars-sur-Moselle;Moselle;Lorraine
Woippy;0087192088;c;1;1;49.1487965, 6.155621;57140;Woippy;Moselle;Lorraine
Moyeuvre-Grande;0087191718;c;1;1;49.246713, 6.043226;57250;Moyeuvre-Grande;Moselle;Lorraine
Homécourt;0087191692;c;1;1;49.2182988, 5.9991714;54310;Homécourt;Meurthe-et-Moselle;Lorraine
Malling;0087191627;c;1;1;49.42152, 6.302207;57480;Malling;Moselle;Lorraine
Kédange;0087191346;c;1;1;49.3056643, 6.3324034;57920;Kédange-sur-Canner;Moselle;Lorraine
Walygator parc;0087191098;c;1;1;49.22492, 6.15946;57433;Maizières-lès-Metz;Moselle;Lorraine
Champagney;0087185348;c;1;1;47.7031399, 6.7012773;70290;Champagney;Haute-Saône;Franche-Comté
Lure;0087185249;b;1;1;47.683269, 6.4925787;70200;Lure;Haute-Saône;Franche-Comté
Clerval;0087184622;c;1;1;47.3966577, 6.4920574;25340;Clerval;Doubs;Franche-Comté
Muhlbach-sur-Munster;0087182733;c;1;1;48.0246077, 7.0875666;68380;Muhlbach-sur-Munster;Haut-Rhin;Alsace
